<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
DJIA;60;20110225;230000;12137.68000;12143.81000;12120.87000;12132.64000;0
DJIA;60;20110226;000000;12132.72000;12133.02000;12130.45000;12130.45000;0
DJIA;60;20110228;170000;12130.45000;12211.43000;12130.45000;12207.57000;0
DJIA;60;20110228;180000;12206.96000;12233.04000;12201.44000;12224.30000;0
DJIA;60;20110228;190000;12224.14000;12227.13000;12193.87000;12201.63000;0
DJIA;60;20110228;200000;12201.78000;12217.37000;12190.92000;12191.37000;0
DJIA;60;20110228;210000;12191.34000;12191.79000;12171.66000;12171.96000;0
DJIA;60;20110228;220000;12171.89000;12210.45000;12163.22000;12210.37000;0
DJIA;60;20110228;230000;12210.63000;12231.94000;12197.81000;12231.94000;0
DJIA;60;20110301;000000;12235.04000;12235.04000;12226.26000;12226.34000;0
DJIA;60;20110301;170000;12228.84000;12261.38000;12227.78000;12240.64000;0
DJIA;60;20110301;180000;12237.99000;12247.61000;12167.00000;12211.88000;0
DJIA;60;20110301;190000;12211.96000;12223.58000;12144.30000;12146.38000;0
DJIA;60;20110301;200000;12146.30000;12158.07000;12128.63000;12142.71000;0
DJIA;60;20110301;210000;12142.60000;12147.97000;12102.98000;12117.92000;0
DJIA;60;20110301;220000;12117.77000;12117.85000;12066.80000;12076.45000;0
DJIA;60;20110301;230000;12076.75000;12091.24000;12054.99000;12057.07000;0
DJIA;60;20110302;000000;12056.62000;12058.02000;12055.60000;12058.02000;0
DJIA;60;20110302;170000;12057.34000;12083.64000;12039.02000;12083.56000;0
DJIA;60;20110302;180000;12083.83000;12113.65000;12064.38000;12100.36000;0
DJIA;60;20110302;190000;12101.27000;12115.12000;12027.03000;12027.94000;0
DJIA;60;20110302;200000;12027.82000;12085.95000;12018.63000;12074.40000;0
DJIA;60;20110302;210000;12074.56000;12084.51000;12042.20000;12051.13000;0
DJIA;60;20110302;220000;12051.32000;12103.66000;12036.00000;12087.50000;0
DJIA;60;20110302;230000;12087.12000;12104.49000;12053.97000;12066.95000;0
DJIA;60;20110303;000000;12065.97000;12066.80000;12065.97000;12066.80000;0
DJIA;60;20110303;170000;12070.66000;12230.43000;12070.51000;12224.75000;0
DJIA;60;20110303;180000;12224.45000;12249.16000;12208.86000;12233.95000;0
DJIA;60;20110303;190000;12234.55000;12253.28000;12222.18000;12249.88000;0
DJIA;60;20110303;200000;12249.69000;12255.74000;12232.81000;12248.67000;0
DJIA;60;20110303;210000;12248.51000;12253.21000;12241.10000;12248.17000;0
DJIA;60;20110303;220000;12248.33000;12281.97000;12248.14000;12280.87000;0
DJIA;60;20110303;230000;12281.02000;12283.10000;12251.62000;12258.35000;0
DJIA;60;20110304;000000;12259.11000;12259.49000;12258.13000;12258.20000;0
DJIA;60;20110304;170000;12258.88000;12271.37000;12238.75000;12248.21000;0
DJIA;60;20110304;180000;12248.89000;12254.57000;12178.51000;12208.33000;0
DJIA;60;20110304;190000;12208.70000;12214.00000;12159.13000;12162.46000;0
DJIA;60;20110304;200000;12162.61000;12162.92000;12079.51000;12101.01000;0
DJIA;60;20110304;210000;12100.25000;12123.26000;12083.15000;12100.18000;0
DJIA;60;20110304;220000;12099.34000;12118.45000;12083.18000;12118.45000;0
DJIA;60;20110304;230000;12118.60000;12172.76000;12083.07000;12166.85000;0
DJIA;60;20110305;000000;12166.10000;12169.88000;12166.10000;12169.88000;0
DJIA;60;20110307;170000;12172.23000;12242.16000;12170.94000;12236.03000;0
DJIA;60;20110307;180000;12235.57000;12243.44000;12146.42000;12153.99000;0
DJIA;60;20110307;190000;12153.61000;12153.61000;12081.07000;12090.90000;0
DJIA;60;20110307;200000;12090.64000;12112.89000;12058.06000;12059.34000;0
DJIA;60;20110307;210000;12061.54000;12070.05000;12041.60000;12057.15000;0
DJIA;60;20110307;220000;12057.22000;12087.35000;12047.80000;12083.49000;0
DJIA;60;20110307;230000;12080.72000;12129.46000;12066.99000;12092.08000;0
DJIA;60;20110308;000000;12092.61000;12092.68000;12089.43000;12090.03000;0
DJIA;60;20110308;170000;12085.42000;12117.96000;12072.21000;12107.06000;0
DJIA;60;20110308;180000;12107.44000;12176.69000;12107.44000;12170.37000;0
DJIA;60;20110308;190000;12170.07000;12243.90000;12156.75000;12243.67000;0
DJIA;60;20110308;200000;12243.63000;12251.20000;12223.20000;12227.32000;0
DJIA;60;20110308;210000;12227.17000;12238.18000;12225.13000;12233.83000;0
